run_number,title,display_title,source_csv_start_row,source_csv_end_row,message_count,earliest_time,latest_time,transcript_path,transcript_sha256
1,Finding EMVCo Developer Resources,Finding EMVCo Developer Resources,2,3,2,2026-09-18T15:51:55,2026-09-18T15:51:55,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/001_Finding EMVCo Developer Resources.md,85703121d712a476f1318de17a2a1dc97c4374cc25f6c2075cd4164eebef7f77
2,Creating a Glass Marble Windows Icon Theme,Creating a Glass Marble Windows Icon Theme,4,79,76,2026-09-06T18:15:49,2026-09-06T20:48:32,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/002_Creating a Glass Marble Windows Icon Theme.md,3b1dc5f007d63aac4a4d271018cb5047cc66aeb208b4178deb62287b91570b0c
3,Linux Alternatives to Dr.Fone,Linux Alternatives to Dr.Fone,80,81,2,2026-08-29T16:06:10,2026-08-29T16:06:10,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/003_Linux Alternatives to Dr.Fone.md,15229bed55d1c26c91a056166e315a083bd022285f27651b49e32252f03f89e7
4,Microsoft product changes and user perception,Microsoft product changes and user perception,82,201,120,2026-08-23T10:02:48,2026-08-23T16:47:06,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/004_Microsoft product changes and user perception.md,5764f198f2f666de13c48fae802e2684d8059397f43f0d9e20661e63e244aeda
5,Troubles with Facebook Passwords in Edge,Troubles with Facebook Passwords in Edge,202,205,4,2026-08-18T11:14:54,2026-08-18T11:17:25,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/005_Troubles with Facebook Passwords in Edge.md,5fd755cac0ccbb7518df350d69dfd6768ff7c6c259a4c828e65dbbea96696335
6,Current Date and Time,Current Date and Time,206,207,2,2026-08-13T21:30:25,2026-08-13T21:30:25,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/006_Current Date and Time.md,ff99346cab7c48db8a86a2a5ec4999ea5b59458ed89afa5f306af9894a2ee39b
7,Reaching Mushroom River Warden Spaceship,Reaching Mushroom River Warden Spaceship,208,219,12,2026-08-06T08:38:01,2026-08-06T10:28:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/007_Reaching Mushroom River Warden Spaceship.md,4e02cede83d9a30a0495110221a3d49fba5bc3a6235a04c15c2add21a4659277
8,Missing Bookmarks Issue,Missing Bookmarks Issue,220,242,23,2026-08-05T16:55:01,2026-08-05T17:00:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/008_Missing Bookmarks Issue.md,4a802d1d06032b3d43180b1ffca2baacaf6cc1a3a11e707025d921c1a93d86ce
9,Microsoft Neural TTS Languages,Microsoft Neural TTS Languages,243,255,13,2026-07-23T00:01:29,2026-07-23T02:06:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/009_Microsoft Neural TTS Languages.md,4ac082156b2feee5809f6471e63133fa985c3d43bad19770bdb5da393c4e7cd1
10,Current Date and Time in Austin,Current Date and Time in Austin,256,271,16,2026-07-09T05:14:12,2026-07-09T05:22:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/010_Current Date and Time in Austin.md,3e459f77387bc06362edeb159184e2bd283038649433085a5e41aab6bc223d3a
11,Copilot Re-entry and Court State Restoration,Copilot Re-entry and Court State Restoration,272,379,108,2025-08-22T07:40:57,2026-07-07T11:50:03,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/011_Copilot Re-entry and Court State Restoration.md,2f8a3947695fd18872e173f5ffd83f32a87cb5c6771795719ae4ff587c85a89d
12,Publishing as an Independent Researcher,Publishing as an Independent Researcher,380,445,66,2026-07-05T04:15:25,2026-07-05T05:44:49,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/012_Publishing as an Independent Researcher.md,cee6fbcac59ffc2ec3d1f038c22c727c8cfedd89c06fe927067025dd7c2d995a
13,Hidden BDSM Meetup App Inquiry,Hidden BDSM Meetup App Inquiry,446,454,9,2026-07-04T17:48:49,2026-07-04T17:51:23,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/013_Hidden BDSM Meetup App Inquiry.md,2eca96f71a9e8936c32628b47f6aba6e19e4c725f2e398a86f3f44752cf4ea45
14,Accessing Purchased Microsoft Movies,Accessing Purchased Microsoft Movies,455,456,2,2026-06-27T15:47:28,2026-06-27T15:47:28,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/014_Accessing Purchased Microsoft Movies.md,0c1a26fc5767a36f92889963e7897c8369eea4442d6ec46ebd64b99fca2658c0
15,Teredo IPv6 Tunnel Behavior in Windows,Teredo IPv6 Tunnel Behavior in Windows,457,588,132,2026-06-14T21:29:32,2026-06-14T23:36:37,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/015_Teredo IPv6 Tunnel Behavior in Windows.md,7d28769781ece4a022624ac18151d137b5b4755947c1f5fa53d341c2943b38f9
16,Increasing Upload Speeds via Phone Tethering,Increasing Upload Speeds via Phone Tethering,589,598,10,2026-06-13T09:08:03,2026-06-13T18:25:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/016_Increasing Upload Speeds via Phone Tethering.md,c908001641221715148b992eaa2387b7b359b5a4327fa8112c657cd5bb449386
17,Updating Android Game Project Summary,Updating Android Game Project Summary,599,735,137,2025-11-20T10:09:56,2026-06-12T02:24:21,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/017_Updating Android Game Project Summary.md,46561bce02dd2e00879fa35e80d0505f5657836862d4df9f04ff8d1d91f66cbf
18,Fixing Silent HTML Chart Errors,Fixing Silent HTML Chart Errors,736,771,36,2026-06-11T06:24:48,2026-06-11T06:47:54,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/018_Fixing Silent HTML Chart Errors.md,570f6cc7ea42496a48f3998ac318d71ebe8dc2d1cabdb4ea022ef1dcd270d00e
19,Texas Secretary of State Payment Contact,Texas Secretary of State Payment Contact,772,773,2,2026-06-08T16:48:05,2026-06-08T16:48:05,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/019_Texas Secretary of State Payment Contact.md,1bdeb577fc3b4d5bd6e979baeab1908c2e1c968360023bf678e629b4e7944540
20,Boosting Phone Hotspot Internet 2026,Boosting Phone Hotspot Internet 2026,774,785,12,2026-06-05T18:16:16,2026-06-05T18:21:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/020_Boosting Phone Hotspot Internet 2026.md,71dcd1d18bafc09b772b186db33563955e3e09cf539ddf21326b5ef2186c4e19
21,Understanding Mobile Connection Errors,Understanding Mobile Connection Errors,786,799,14,2026-05-31T18:45:17,2026-05-31T19:22:52,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/021_Understanding Mobile Connection Errors.md,810b35b4a3605490de8501f9123cf11fdb7f08ec8379696555316f178812cad5
22,Overview of Zenodo Repository,Overview of Zenodo Repository,800,801,2,2026-05-30T04:17:45,2026-05-30T04:17:45,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/022_Overview of Zenodo Repository.md,a74700d690f6c2af862559a93b2f91dc0d6499d49a60aa60537269845681fe24
23,Event ID 4688 and Process Tracking,Event ID 4688 and Process Tracking,802,825,24,2026-05-29T08:08:08,2026-05-29T08:43:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/023_Event ID 4688 and Process Tracking.md,f4ed16fc5698a34e6899f16e2764f024f72a2656e322e8fe20d446824b734d1c
24,Kali Linux 2026 Sources Setup,Kali Linux 2026 Sources Setup,826,887,62,2026-05-28T14:30:44,2026-05-28T17:11:49,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/024_Kali Linux 2026 Sources Setup.md,2820082375653a3cb772eb3750986b462c10a0255cab4b75b8ab4305711760b2
25,Finding Cosigner Finder Services,Finding Cosigner Finder Services,888,929,42,2026-05-26T16:36:42,2026-05-26T18:27:27,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/025_Finding Cosigner Finder Services.md,78e6704059c075f194ea0836c8c71b420805d3a877a95862a869ab0f6f3aa1a2
26,Dell 3510 USB Tethering Drivers,Dell 3510 USB Tethering Drivers,930,1033,104,2026-05-26T12:13:15,2026-05-26T15:49:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/026_Dell 3510 USB Tethering Drivers.md,ff004d3d1ee2a7e3ad571b4e6ef4a9fd6bf42ef249c740b1ca6e0fdbb7aa37db
27,GameStop Xbox Wired Controller Price,GameStop Xbox Wired Controller Price,1034,1035,2,2026-05-24T22:29:04,2026-05-24T22:29:04,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/027_GameStop Xbox Wired Controller Price.md,a7d2eda78c80f0367d489d420479c5ee7cd615b4b4f8b35ce0d8975bab248f78
28,Grants for Longevity and Immunity Research,Grants for Longevity and Immunity Research,1036,1037,2,2026-05-22T19:29:51,2026-05-22T19:29:51,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/028_Grants for Longevity and Immunity Research.md,64c19b67b4d28cad86bb0e7acfbe1777c5485edb32de8e2b28bbee82a02a12af
29,Professional Business Webpage Creation,Professional Business Webpage Creation,1038,1053,16,2026-05-22T03:47:00,2026-05-22T03:54:47,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/029_Professional Business Webpage Creation.md,9a055dd2d81859fd6505af1ae788c28f9df46fdc687bef24f52427acdc29d9c6
30,Albion Online Roads Companion Apps,Albion Online Roads Companion Apps,1054,1073,20,2026-05-18T03:46:50,2026-05-18T04:00:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/030_Albion Online Roads Companion Apps.md,78a678ebddb8448deb79923792e0ed346c6ff370a0ae66e057c00f0b5c253edd
31,Blanking Under Pressure,Blanking Under Pressure,1074,1081,8,2026-05-15T07:24:42,2026-05-15T07:30:44,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/031_Blanking Under Pressure.md,353972c27a36720e43c8a273e94fb009d9fed16c677dffe04195e7f093f502e2
32,Verifying and Updating Scientific Preprint,Verifying and Updating Scientific Preprint,1082,1097,16,2026-05-08T19:17:37,2026-05-08T20:34:28,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/032_Verifying and Updating Scientific Preprint.md,005a753733ec8fdc9b299734ff6312d7ca91c0f75907d8eb7a4c44372385b54f
33,Using Phone as Gaming Headset,Using Phone as Gaming Headset,1098,1106,9,2026-05-07T00:43:50,2026-05-07T00:45:13,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/033_Using Phone as Gaming Headset.md,95fa786860891764fd3bb5ce3595cb9f21b78033ea8ba9bc42b83f609a871051
34,Meta-Analysis of Published Zenodo Paper,Meta-Analysis of Published Zenodo Paper,1107,1134,28,2026-05-05T00:36:56,2026-05-05T00:53:26,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/034_Meta-Analysis of Published Zenodo Paper.md,627823b548a2dc8896a1d646afb97d2493c79cc1f9fe5bc381ecabe4fdc449f4
