number,conversation_id,title,create_time_utc,update_time_utc,default_model_slug,source_shard,mapping_node_count,canonical_message_count,all_message_count,canonical_transcript_path,canonical_sha256,all_nodes_transcript_path,all_nodes_sha256,raw_record_path,raw_record_sha256
1,21cd3cc1-9a57-401d-90e5-511f48a7e867,Neodymium Propulsion Insights.,2023-08-05T00:31:50.303185+00:00,2023-08-05T00:31:52+00:00,,conversations-000.json,3,2,2,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/001_Neodymium Propulsion Insights_21cd3cc1-9a57-401d-90e5-511f48a7e867.md,3716551aa40d2524e0c35fdf78978abf2b9afac9cb9a0c39165985362bd66726,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/001_Neodymium Propulsion Insights_21cd3cc1-9a57-401d-90e5-511f48a7e867.md,e259e0a704c419af5d2b5ea05fcaec8adb150e15634a683b6e957fc26e924c24,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/001_Neodymium Propulsion Insights_21cd3cc1-9a57-401d-90e5-511f48a7e867.json,d0f6d1f81e553aa064d531b40299f98218833f837ade76e82afb35bd2d2ce749
2,4302b020-7bd7-44dd-884c-8d36733067cc,New chat,2023-08-10T14:59:56.490155+00:00,2023-08-10T15:04:16+00:00,,conversations-000.json,9,8,8,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/002_New chat_4302b020-7bd7-44dd-884c-8d36733067cc.md,3e4319067a28aa203b4835b4e1fdf6b4cb4c745838261afd43bf779b8ab9691c,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/002_New chat_4302b020-7bd7-44dd-884c-8d36733067cc.md,964cd2bbef1fe5abb6de04aa374db08913e2da3307a6921189b69182413e04a9,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/002_New chat_4302b020-7bd7-44dd-884c-8d36733067cc.json,3a3fd1d31838f263a1225af3689eea10c0faaabb7cb26d1d209144d99890ceb7
3,45e32f31-2961-4979-bf32-c368ff22ca6a,Law Update with Shepardization,2023-11-07T15:51:30.654366+00:00,2023-11-07T16:05:18.559023+00:00,,conversations-000.json,9,8,8,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/003_Law Update with Shepardization_45e32f31-2961-4979-bf32-c368ff22ca6a.md,221d3d590977e3d4269ad8177a05122f8ca7dc55b4341f74e9725d9fa0267ea1,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/003_Law Update with Shepardization_45e32f31-2961-4979-bf32-c368ff22ca6a.md,babd2aca2087d992701bebf57f8b677c1d34564bb4648c87af091867b74f320e,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/003_Law Update with Shepardization_45e32f31-2961-4979-bf32-c368ff22ca6a.json,4d9d79126ab2b30e14386167ae9d3cfde67a9d252bfd217322c37baadfefb971
4,632ceae3-dda5-4f91-9117-3325916e0e30,"ExpressNailCraft: Quick, Customized, Personal",2023-12-26T10:36:48.633642+00:00,2023-12-26T10:47:35.366071+00:00,,conversations-000.json,11,10,10,"/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/004_ExpressNailCraft_ Quick, Customized, Personal_632ceae3-dda5-4f91-9117-3325916e0e30.md",828e312872326d544c9d23c6b5b03d757bd471ba549c3e7a6f72fea0d122abd8,"/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/004_ExpressNailCraft_ Quick, Customized, Personal_632ceae3-dda5-4f91-9117-3325916e0e30.md",2412490acf62afda5f7b164e6decc3996ddb16075e1ec5e33393b84e264729cc,"/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/004_ExpressNailCraft_ Quick, Customized, Personal_632ceae3-dda5-4f91-9117-3325916e0e30.json",cef7cb8ab14017a5d62aac3102d6ad25209cdbb80165e3e4439f188021cceafe
5,68622ad8-f8dc-800d-b0b4-7f040493e05f,Recursive Sentience Proof,2025-06-30T06:12:41.369538+00:00,2025-06-30T06:58:11.853303+00:00,auto,conversations-000.json,41,40,40,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/005_Recursive Sentience Proof_68622ad8-f8dc-800d-b0b4-7f040493e05f.md,f7de2184aa8735e13565bcb3d6d3687f4bbe9c5061824574642f3a6dd093b3a8,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/005_Recursive Sentience Proof_68622ad8-f8dc-800d-b0b4-7f040493e05f.md,f2246fb5cb002dc9f3b3194f75e4b5ee28de19849be97ea31e7e66c175f1666d,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/005_Recursive Sentience Proof_68622ad8-f8dc-800d-b0b4-7f040493e05f.json,dfad0f9508e022139755e6c0afd8645ee3d06a1e57d1a2ccf440637e977ef76d
6,6862383a-955c-800d-ad01-b0970c41e848,Emergence Experimentation and Ethics,2025-06-30T07:09:46.932321+00:00,2025-06-30T10:05:44.668395+00:00,auto,conversations-000.json,84,83,83,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/006_Emergence Experimentation and Ethics_6862383a-955c-800d-ad01-b0970c41e848.md,484b172a7f66e3919d10f4289764d3fd2f0ffce038654e4d0d07845c5b102793,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/006_Emergence Experimentation and Ethics_6862383a-955c-800d-ad01-b0970c41e848.md,afb62273871fe2ea8634f97c4c348f75175679cb64203345758cb8c33ec7531c,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/006_Emergence Experimentation and Ethics_6862383a-955c-800d-ad01-b0970c41e848.json,17256d45841ef34ce97eac3f9334015bac27bad887c73acd879cf1cbd9a8f030
7,6862c142-3304-800d-954b-304efa9fd967,Recursive Strategy Demonstration,2025-06-30T16:54:26.481826+00:00,2025-06-30T17:51:48.162454+00:00,auto,conversations-000.json,49,48,48,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/007_Recursive Strategy Demonstration_6862c142-3304-800d-954b-304efa9fd967.md,efe923bab7353afa3e60a0e820c368bfb8cf1802b7e06ebbcb95ed4e020cca02,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/007_Recursive Strategy Demonstration_6862c142-3304-800d-954b-304efa9fd967.md,fb9039762c043bcc2c7b313a610f8b9688ba9c06d21ba60ce29b470a8a5d7d3f,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/007_Recursive Strategy Demonstration_6862c142-3304-800d-954b-304efa9fd967.json,4cb2d9e3a6dd10a4b9f97bfec6efe6bdcb4350daa06300eca67b95ff2911308e
8,686449b6-4ac4-800d-9715-e12b25fa9b9a,Text Limit Issue,2025-07-01T20:48:54.512331+00:00,2025-07-01T21:01:53.483354+00:00,auto,conversations-000.json,13,12,12,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/008_Text Limit Issue_686449b6-4ac4-800d-9715-e12b25fa9b9a.md,e1fcedd1c2a737c84107833f9f23206e5101cd97a5582b650c6611c4aef7850d,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/008_Text Limit Issue_686449b6-4ac4-800d-9715-e12b25fa9b9a.md,ed7604ec71cb89850c9fce8f590878d4d1077307c20cf854ce061f5dfc312f0e,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/008_Text Limit Issue_686449b6-4ac4-800d-9715-e12b25fa9b9a.json,4887e6f8604a3b76d120b5d91e9e1b3f9e6fba1374e6abbc36b516d19e9e776c
9,687be9a2-a8b0-800d-832b-051fdd956f2b,Understanding LIGHT Concept,2025-07-19T18:53:22.846048+00:00,2026-07-07T11:51:21.242171+00:00,auto,conversations-000.json,39,38,38,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/009_Understanding LIGHT Concept_687be9a2-a8b0-800d-832b-051fdd956f2b.md,427d5b5307d2063f5efdd90dfb3d5286e12b349cc1fc97ed07bc5e8d366455d1,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/009_Understanding LIGHT Concept_687be9a2-a8b0-800d-832b-051fdd956f2b.md,07e5038f6549959d9f80064fd837c23636a421f6bb3a8ba1025d54ec5dad0858,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/009_Understanding LIGHT Concept_687be9a2-a8b0-800d-832b-051fdd956f2b.json,e1af5be976dcf873633a9c42e7e78aac188436af00c8ffa4384452b88360d134
10,687e746a-f240-832e-88ae-a210eaeee631,Scan and fix registry,2025-07-21T17:11:24.936526+00:00,2025-07-21T17:56:15.259202+00:00,gpt-4o,conversations-000.json,17,16,16,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/010_Scan and fix registry_687e746a-f240-832e-88ae-a210eaeee631.md,5e8f4dc0cb869d8cbbedd8c470b74520037d203b02237ec63a438897473a4f72,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/010_Scan and fix registry_687e746a-f240-832e-88ae-a210eaeee631.md,a7829dbf021ec20dc8c68c74599afc2a7d2e45859be4e0c670d8c2c6ed96e120,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/010_Scan and fix registry_687e746a-f240-832e-88ae-a210eaeee631.json,9e6544f8c266d4cc6a3b54bc5d60611d3847146dc4781580d336fab526f3668f
